MessageText	JudgedDomain	JudgedConstraints	JudgedIntent
files with attachment inside	FILES	 files  with <attachment> attachment </attachment> inside	search_email
find file for docx attachments	FILES	find  file  for <attachment_type> docx </attachment_type> <attachment> attachments </attachment>	search_email
file with attachment from june about teaching	FILES	 file  with <attachment> attachment </attachment> from <start_date> june </start_date> about <keyword> teaching </keyword>	search_email
files that includes attachments	FILES	 files  that includes <attachment> attachments </attachment>	search_email
from harry with work attachments	FILES	from <contact_name_from> harry </contact_name_from> with <keyword> work </keyword> <attachment> attachments </attachment>	search_email
file attachment about birthday party	FILES	 file  <attachment> attachment </attachment> about <keyword> birthday party </keyword>	search_email
to gina with attachment word	FILES	to <contact_name_to> gina </contact_name_to> with <attachment> attachment </attachment> <attachment_type> word </attachment_type>	search_email
im looking for file from rebecca with attachment	FILES	im looking for  file  from <contact_name_from> rebecca </contact_name_from> with <attachment> attachment </attachment>	search_email
files with pdf attachments re bills from june 2016 to july 2017	FILES	 files  with <attachment_type> pdf </attachment_type> <attachment> attachments </attachment> re <keyword> bills </keyword> from <start_date> june 2016 </start_date> to <end_date> july 2017 </end_date>	search_email
show me recent spreadsheet attachments	FILES	show me <order_ref> recent </order_ref> <attachment_type> spreadsheet </attachment_type> <attachment> attachments </attachment>	search_email
files with attachment on scheduling	FILES	 files  with <attachment> attachment </attachment> on <keyword> scheduling </keyword>	search_email
files with ics attachment from last two months	FILES	 files  with <attachment_type> ics </attachment_type> <attachment> attachment </attachment> from <start_date> last two months </start_date>	search_email
from john mpt attachments	FILES	from <contact_name_from> john </contact_name_from> <attachment_type> mpt </attachment_type> <attachment> attachments </attachment>	search_email
attachments from jet	FILES	<attachment> attachments </attachment> from <contact_name_from> jet </contact_name_from>	search_email
attachment from bernie	FILES	<attachment> attachment </attachment> from <contact_name_from> bernie </contact_name_from>	search_email
show files to publishers clearing house sent in last two years that have attachments	FILES	show  files  to <contact_name_to> publishers clearing house </contact_name_to> sent in <start_date> last two years </start_date> that have <attachment> attachments </attachment>	search_email
file from steven with attachments	FILES	 file  from <contact_name_from> steven </contact_name_from> with <attachment> attachments </attachment>	search_email
which files contain documents attachments	FILES	which  files  contain <attachment_type> documents </attachment_type> <attachment> attachments </attachment>	search_email
files to jonny that have an attachment from january	FILES	 files  to <contact_name_to> jonny </contact_name_to> that have an <attachment> attachment </attachment> from <start_date> january </start_date>	search_email
find new file from james with attachments	FILES	find <message_category> new </message_category>  file  from <contact_name_from> james </contact_name_from> with <attachment> attachments </attachment>	search_email
searching files from janet containing onenote attachments	FILES	searching  files  from <contact_name_from> janet </contact_name_from> containing <attachment_type> onenote </attachment_type> <attachment> attachments </attachment>	search_email
files from john with vss attachments	FILES	 files  from <contact_name_from> john </contact_name_from> with <attachment_type> vss </attachment_type> <attachment> attachments </attachment>	search_email
attachment renovation files	FILES	<attachment> attachment </attachment> <keyword> renovation </keyword>  files 	search_email
sent to joe with vssm attachments	FILES	sent to <contact_name_to> joe </contact_name_to> with <attachment_type> vssm </attachment_type> <attachment> attachments </attachment>	search_email
file with an attachment from bill	FILES	 file  with an <attachment> attachment </attachment> from <contact_name_from> bill </contact_name_from>	search_email
all attachments from brad	FILES	all <attachment> attachments </attachment> from <contact_name_from> brad </contact_name_from>	search_email
yesterday mark sent an files attachment to martha	FILES	<start_date> yesterday </start_date> <contact_name> mark </contact_name> sent an  files  <attachment> attachment </attachment> to <contact_name_to> martha </contact_name_to>	search_email
attachment files emily	FILES	<attachment> attachment </attachment>  files  <contact_name> emily </contact_name>	search_email
file written by joyce with attachment	FILES	 file  written by <contact_name_from> joyce </contact_name_from> with <attachment> attachment </attachment>	search_email
files with attachment on basketball	FILES	 files  with <attachment> attachment </attachment> on <keyword> basketball </keyword>	search_email
files from february with an attachment	FILES	 files  from <start_date> february </start_date> with an <attachment> attachment </attachment>	search_email
attachment ics file	FILES	<attachment> attachment </attachment> <attachment_type> ics </attachment_type>  file 	search_email
to lia vssx attachment	FILES	to <contact_name_to> lia </contact_name_to> <attachment_type> vssx </attachment_type> <attachment> attachment </attachment>	search_email
funny cat vsd attachment in files	FILES	<keyword> funny cat </keyword> <attachment_type> vsd </attachment_type> <attachment> attachment </attachment> in  files 	search_email
attachments from yesterday	FILES	<attachment> attachments </attachment> from <start_date> yesterday </start_date>	search_email
from giselle with attachment	FILES	from <contact_name_from> giselle </contact_name_from> with <attachment> attachment </attachment>	search_email
party file with attachments from yannick from last december	FILES	<keyword> party </keyword>  file  with <attachment> attachments </attachment> from <contact_name_from> yannick </contact_name_from> from <start_date> last december </start_date>	search_email
my files attachments for april 2019	FILES	my  files  <attachment> attachments </attachment> for <start_date> april 2019 </start_date>	search_email
file having attachments from salva	FILES	 file  having <attachment> attachments </attachment> from <contact_name_from> salva </contact_name_from>	search_email
file may 1 through may 5 with attachments	FILES	 file  <start_date> may 1 </start_date> through <end_date> may 5 </end_date> with <attachment> attachments </attachment>	search_email
show me connor attachments with spreadsheet	FILES	show me <keyword> connor </keyword> <attachment> attachments </attachment> with <attachment_type> spreadsheet </attachment_type>	search_email
ruths files from june with attachments	FILES	<contact_name> ruth </contact_name> s  files  from <start_date> june </start_date> with <attachment> attachments </attachment>	search_email
files to berty from edith with attachments from june	FILES	 files  to <contact_name_to> berty </contact_name_to> from <contact_name_from> edith </contact_name_from> with <attachment> attachments </attachment> from <start_date> june </start_date>	search_email
messages from dave with tsv attachments	FILES	messages from <contact_name_from> dave </contact_name_from> with <attachment_type> tsv </attachment_type> <attachment> attachments </attachment>	search_email
decks attachment girls trip	FILES	<attachment_type> decks </attachment_type> <attachment> attachment </attachment> <keyword> girls trip </keyword>	search_email
files from danny to keith with attachment	FILES	 files  from <contact_name_from> danny </contact_name_from> to <contact_name_to> keith </contact_name_to> with <attachment> attachment </attachment>	search_email
file lfrom last week about work with attachment	FILES	 file  lfrom <start_date> last week </start_date> about <keyword> work </keyword> with <attachement> attachment </attachement>	search_email
files received from may with attachments	FILES	 files  received from <start_date> may </start_date> with <attachment> attachments </attachment>	search_email
attachment to juan	FILES	<attachment> attachment </attachment> to <contact_name_to> juan </contact_name_to>	search_email
look for files from connie with a vdw attachment	FILES	look for  files  from <contact_name_from> connie </contact_name_from> with a <attachment_type> vdw </attachment_type> <attachment> attachment </attachment>	search_email
file sent from ana with attachments three weeks ago	FILES	 file  sent from <contact_name_from> ana </contact_name_from> with <attachment> attachments </attachment> <start_date> three weeks ago </start_date>	search_email
attachment vdw from youngs	FILES	<attachment> attachment </attachment> <attachment_type> vdw </attachment_type> from <contact_name_from> youngs </contact_name_from>	search_email
find vivs files with ppt attachment	FILES	find <contact_name> viv </contact_name> s  files  with <attachment_type> ppt </attachment_type> <attachment> attachment </attachment>	search_email
files from greg with attachment about part	FILES	 files  from <contact_name_from> greg </contact_name_from> with <attachment> attachment </attachment> about <keyword> part </keyword>	search_email
file about cats from june with attachment	FILES	 file  about <keyword> cats </keyword> from <start_date> june </start_date> with <attachment> attachment </attachment>	search_email
file from fred to barney with attachments re rocks	FILES	 file  from <contact_name_from> fred </contact_name_from> to <contact_name_to> barney </contact_name_to> with <attachment> attachments </attachment> re <keyword> rocks </keyword>	search_email
file from last week with an attachment	FILES	 file  from <start_date> last week </start_date> with an <attachment> attachment </attachment>	search_email
files from june 1st to june 3rd with attachments	FILES	 files  from <start_date> june 1st </start_date> to <end_date> june 3rd </end_date> with <attachment> attachments </attachment>	search_email
from lia slides attachment	FILES	from <contact_name_from> lia </contact_name_from> <attachment_type> slides </attachment_type> <attachment> attachment </attachment>	search_email
april files with vsd attachment	FILES	<start_date> april </start_date>  files  with <attachment_type> vsd </attachment_type> <attachment> attachment </attachment>	search_email
find an file about baseball that has an attachment	FILES	find an  file  about <keyword> baseball </keyword> that has an <attachment> attachment </attachment>	search_email
files with attachment about doctor appointments between june 10 and june 20 2018	FILES	 files  with <attachment> attachment </attachment> about <keyword> doctor appointments </keyword> between <start_date> june 10 </start_date> and <end_date> june 20 2018 </end_date>	search_email
jims file attachment	FILES	<contact_name> jim </contact_name> s  file  <attachment> attachment </attachment>	search_email
attachments that are in my files	FILES	<attachment> attachments </attachment> that are in my  files 	search_email
csv attachment from ken files	FILES	<attachment_type> csv </attachment_type> <attachment> attachment </attachment> from <contact_name_from> ken </contact_name_from>  files 	search_email
file about movie with attachment	FILES	 file  about <keyword> movie </keyword> with <attachment> attachment </attachment>	search_email
100 file from malik last week with attachments	FILES	<keyword> 100 </keyword>  file  from <contact_name_from> malik </contact_name_from> <start_date> last week </start_date> with <attachment> attachments </attachment>	search_email
file from emma with attachments	FILES	 file  from <contact_name_from> emma </contact_name_from> with <attachment> attachments </attachment>	search_email
any files with attachments	FILES	any  files  with <attachment> attachments </attachment>	search_email
find an files about baseball that has an attachment	FILES	find an  files  about <keyword> baseball </keyword> that has an <attachment> attachment </attachment>	search_email
file containing tsv attachment	FILES	 file  containing <attachment_type> tsv </attachment_type> <attachment> attachment </attachment>	search_email
attachment sent spreadsheet	FILES	<attachment> attachment </attachment> sent <attachment_type> spreadsheet </attachment_type>	search_email
onenote attachment from dad	FILES	<attachment_type> onenote </attachment_type> <attachment> attachment </attachment> from <relationship_name_from> dad </relationship_name_from>	search_email
files with attachments that came from stan	FILES	 files  with <attachment> attachments </attachment> that came from <contact_name_from> stan </contact_name_from>	search_email
labor day file with attachment and instructions	FILES	<keyword> labor day </keyword>  file  with <attachment> attachment </attachment> and <keyword> instructions </keyword>	search_email
attachments in my sent folder	FILES	<attachment> attachments </attachment> in my <destination_folder> sent </destination_folder> folder	search_email
most recent file from carmen with attachment	FILES	<order_ref> most recent </order_ref>  file  from <contact_name_from> carmen </contact_name_from> with <attachment> attachment </attachment>	search_email
files from lou to claudia about orchestra concert with attachment	FILES	 files  from <contact_name_from> lou </contact_name_from> to <contact_name_to> claudia </contact_name_to> about <keyword> orchestra concert </keyword> with <attachment> attachment </attachment>	search_email
show me all file with attachments to tony	FILES	show me all  file  with <attachment> attachments </attachment> to <contact_name_to> tony </contact_name_to>	search_email
files jared sent with product comparison attachment	FILES	 files  <contact_name_from> jared </contact_name_from> sent with <keyword> product comparison </keyword> <attachment> attachment </attachment>	search_email
files with word attachment from april	FILES	 files  with <attachment_type> word </attachment_type> <attachment> attachment </attachment> from <start_date> april </start_date>	search_email
let me see lauras file that has spec attachment	FILES	let me see <contact_name> laura </contact_name> s  file  that has <attachment_type> spec </attachment_type> <attachment> attachment </attachment>	search_email
find binary pdf in todays files attachments	FILES	find <keyword> binary </keyword> <attachment_type> pdf </attachment_type> in <start_date> todays </start_date>  files  <attachment> attachments </attachment>	search_email
file from robert to cora with attachment	FILES	 file  from <contact_name_from> robert </contact_name_from> to <contact_name_to> cora </contact_name_to> with <attachment> attachment </attachment>	search_email
files on opera with attachment	FILES	 files  on <keyword> opera </keyword> with <attachment> attachment </attachment>	search_email
files sent from abraham jacob in january on tuesday with attachments	FILES	 files  sent from <contact_name_from> abraham jacob </contact_name_from> in <start_date> january </start_date> on <start_date> tuesday </start_date> with <attachment> attachments </attachment>	search_email
file with attachment about butterfly	FILES	 file  with <attachment> attachment </attachment> about <keyword> butterfly </keyword>	search_email
show me recent sheet attachments	FILES	show me <order_ref> recent </order_ref> <attachment_type> sheet </attachment_type> <attachment> attachments </attachment>	search_email
files from jon hamaker with attachments	FILES	 files  from <contact_name_from> jon hamaker </contact_name_from> with <attachment> attachments </attachment>	search_email
open files from sarah containing attachment	FILES	open  files  from <contact_name_from> sarah </contact_name_from> containing <attachment> attachment </attachment>	search_email
file with attachment on singing	FILES	 file  with <attachment> attachment </attachment> on <keyword> singing </keyword>	search_email
i want to see wes attachments with mpp	FILES	i want to see <contact_name> wes </contact_name> <attachment> attachments </attachment> with <attachment_type> mpp </attachment_type>	search_email
ulf attachments	FILES	<contact_name> ulf </contact_name> <attachment> attachments </attachment>	search_email
files from rachel with attachments	FILES	 files  from <contact_name_from> rachel </contact_name_from> with <attachment> attachments </attachment>	search_email
find files in inbox with attachment	FILES	find  files  in <destination_folder> inbox </destination_folder> with <attachment> attachment </attachment>	search_email
attachment with slides	FILES	<attachment> attachment </attachment> with <attachment_type> slides </attachment_type>	search_email
files from bob to jack last week with attachments	FILES	 files  from <contact_name_from> bob </contact_name_from> to <contact_name_to> jack </contact_name_to> <start_date> last week </start_date> with <attachment> attachments </attachment>	search_email
attachments in files sheet	FILES	<attachment> attachments </attachment> in  files  <attachment_type> sheet </attachment_type>	search_email
attachments from mike	FILES	<attachment> attachments </attachment> from <contact_name_from> mike </contact_name_from>	search_email
sheet attachments in file	FILES	<attachment_type> sheet </attachment_type> <attachment> attachments </attachment> in  file 	search_email
show me all of my files with attachments from december	FILES	show me all of my  files  with <attachment> attachments </attachment> from <start_date> december </start_date>	search_email
to lia presentation attachment	FILES	to <contact_name_to> lia </contact_name_to> <attachment_type> presentation </attachment_type> <attachment> attachment </attachment>	search_email
slides attachment from dad	FILES	<attachment_type> slides </attachment_type> <attachment> attachment </attachment> from <relationship_name_from> dad </relationship_name_from>	search_email
phil attachments from meeting	FILES	<contact_name> phil </contact_name> <attachment> attachments </attachment> from <keyword> meeting </keyword>	search_email
to vanessa with attachment	FILES	to <contact_name_to> vanessa </contact_name_to> with <attachment> attachment </attachment>	search_email
new schedule change file attachments	FILES	<keyword> new schedule change </keyword>  file  <attachment> attachments </attachment>	search_email
files received from march with attachments	FILES	 files  received from <start_date> march </start_date> with <attachment> attachments </attachment>	search_email
jermaines files from last week with attachment	FILES	<contact_name> jermaine </contact_name> s  files  from <start_date> last week </start_date> with <attachment> attachment </attachment>	search_email
search files containing attachment	FILES	search  files  containing <attachment> attachment </attachment>	search_email
attachment from minwoo	FILES	<attachment> attachment </attachment> from <contact_name_from> minwoo </contact_name_from>	search_email
files but only if they have an attachment	FILES	 files  but only if they have an <attachment> attachment </attachment>	search_email
i want to see file to lara with attachments	FILES	i want to see  file  to <contact_name_to> lara </contact_name_to> with <attachment> attachments </attachment>	search_email
search for files sent to todd that contain spreadsheet attachments	FILES	search for  files  sent to <contact_name_to> todd </contact_name_to> that contain <attachment_type> spreadsheet </attachment_type> <attachment> attachments </attachment>	search_email
attachment for next day	FILES	<attachment> attachment </attachment> for <keyword> next day </keyword>	search_email
file with documents attachment in september	FILES	 file  with <attachment_type> documents </attachment_type> <attachment> attachment </attachment> in <start_date> september </start_date>	search_email
attachment by chris files	FILES	<attachment> attachment </attachment> by <contact_name> chris </contact_name>  files 	search_email
find files with call transcript attachment from kelly	FILES	find  files  with <keyword> call transcript </keyword> <attachment> attachment </attachment> from <contact_name_from> kelly </contact_name_from>	search_email
files from mary to edith about party with attachments	FILES	 files  from <contact_name_from> mary </contact_name_from> to <contact_name_to> edith </contact_name_to> about <keyword> party </keyword> with <attachment> attachments </attachment>	search_email
vst attachment	FILES	<attachment_type> vst </attachment_type> <attachment> attachment </attachment>	search_email
file about dogs with attachment from june	FILES	 file  about <keyword> dogs </keyword> with <attachment> attachment </attachment> from <start_date> june </start_date>	search_email
file from dwight kruger with ppts attachments	FILES	 file  from <contact_name_from> dwight kruger </contact_name_from> with <attachment_type> ppts </attachment_type> <attachment> attachments </attachment>	search_email
april files with ppts attachment	FILES	<start_date> april </start_date>  files  with <attachment_type> ppts </attachment_type> <attachment> attachment </attachment>	search_email
from greg with file attachment on office party	FILES	from <contact_name_from> greg </contact_name_from> with  file  <attachment> attachment </attachment> on <keyword> office party </keyword>	search_email
to john vstx attachments	FILES	to <contact_name_to> john </contact_name_to> <attachment_type> vstx </attachment_type> <attachment> attachments </attachment>	search_email
find irs file with form attachments	FILES	find <contact_name_from> irs </contact_name_from>  file  with <keyword> form </keyword> <attachment> attachments </attachment>	search_email
show me connor attachments with spreadsheets	FILES	show me <keyword> connor </keyword> <attachment> attachments </attachment> with <attachment_type> spreadsheets </attachment_type>	search_email
file from mary to edith about party with attachments	FILES	 file  from <contact_name_from> mary </contact_name_from> to <contact_name_to> edith </contact_name_to> about <keyword> party </keyword> with <attachment> attachments </attachment>	search_email
file with words attachment from april	FILES	 file  with <attachment_type> words </attachment_type> <attachment> attachment </attachment> from <start_date> april </start_date>	search_email
vcs attachments in files from january	FILES	<attachment_type> vcs </attachment_type> <attachment> attachments </attachment> in  files  from <start_date> january </start_date>	search_email
which file contain onenote attachments	FILES	which  file  contain <attachment_type> onenote </attachment_type> <attachment> attachments </attachment>	search_email
files with attachment sent between august and september 2019 about jewelry	FILES	 files  with <attachment> attachment </attachment> sent between <start_date> august </start_date> and <end_date> september 2019 </end_date> about <keyword> jewelry </keyword>	search_email
file with attachment was incomplete	FILES	 file  with <attachment> attachment </attachment> was incomplete	search_email
files about xrays with attachments	FILES	 files  about <keyword> xrays </keyword> with <attachment> attachments </attachment>	search_email
file from robert with attachment about office party	FILES	 file  from <contact_name_from> robert </contact_name_from> with <attachment> attachment </attachment> about <keyword> office party </keyword>	search_email
sundays files with attachment on park ppts	FILES	<start_date> sunday </start_date> s  files  with <attachment> attachment </attachment> on <keyword> park </keyword> <attachment_type> ppts </attachment_type>	search_email
file with attachments received last month	FILES	 file  with <attachment> attachments </attachment> received <start_date> last month </start_date>	search_email
file from ruth and laura with attachments about dolls	FILES	 file  from <contact_name_from> ruth </contact_name_from> and <contact_name_from> laura </contact_name_from> with <attachment> attachments </attachment> about <keyword> dolls </keyword>	search_email
file with attachment to jon snow	FILES	 file  with <attachment> attachment </attachment> to <contact_name_to> jon snow </contact_name_to>	search_email
files from mark with attachment from last month	FILES	 files  from <contact_name_from> mark </contact_name_from> with <attachment> attachment </attachment> from <start_date> last month </start_date>	search_email
find davids files with attachment	FILES	find <contact_name> david </contact_name> s  files  with <attachment> attachment </attachment>	search_email
file with attachments with manual underwriting in title	FILES	 file  with <attachment> attachments </attachment> with <email_subject> manual underwriting </email_subject> in title	search_email
files i sent that has an attachment	FILES	 files  i sent that has an <attachment> attachment </attachment>	search_email
sent to joe with onenotes attachments	FILES	sent to <contact_name_to> joe </contact_name_to> with <attachment_type> onenotes </attachment_type> <attachment> attachments </attachment>	search_email
for files with an attachment	FILES	for  files  with an <attachment> attachment </attachment>	search_email
from john vstm attachments	FILES	from <contact_name_from> john </contact_name_from> <attachment_type> vstm </attachment_type> <attachment> attachments </attachment>	search_email
mias file with vss attachments	FILES	<contact_name> mia </contact_name> s  file  with <attachment_type> vss </attachment_type> <attachment> attachments </attachment>	search_email
file with attachment that relate to available job openings	FILES	 file  with <attachment> attachment </attachment> that relate to <keyword> available job openings </keyword>	search_email
files with attachment from last week	FILES	 files  with <attachment> attachment </attachment> from <start_date> last week </start_date>	search_email
mr stevens files to sally from august with attachment	FILES	<contact_name_from> mr stevens </contact_name_from>  files  to <contact_name_to> sally </contact_name_to> from <start_date> august </start_date> with <attachment> attachment </attachment>	search_email
from jane with attachment	FILES	from <contact_name_from> jane </contact_name_from> with <attachment> attachment </attachment>	search_email
sheet attachments file	FILES	<attachment_type> sheet </attachment_type> <attachment> attachments </attachment>  file 	search_email
files with an attachment that i have	FILES	 files  with an <attachment> attachment </attachment> that i have	search_email
files from diane with attachment	FILES	 files  from <contact_name_from> diane </contact_name_from> with <attachment> attachment </attachment>	search_email
file with program attachment	FILES	 file  with <keyword> program </keyword> <attachment> attachment </attachment>	search_email
show all recent file with attachments	FILES	show all <order_ref> recent </order_ref>  file  with <attachment> attachments </attachment>	search_email
file from lizzie to sally re resignation with spreadsheet attachment	FILES	 file  from <contact_name_from> lizzie </contact_name_from> to <contact_name_to> sally </contact_name_to> re <keyword> resignation </keyword> with <attachment_type> spreadsheet </attachment_type> <attachment> attachment </attachment>	search_email
look for file from connie with a mpt attachment	FILES	look for  file  from <contact_name_from> connie </contact_name_from> with a <attachment_type> mpt </attachment_type> <attachment> attachment </attachment>	search_email
i want to see file with an attachment from cale	FILES	i want to see  file  with an <attachment> attachment </attachment> from <contact_name_from> cale </contact_name_from>	search_email
file with office work attachment	FILES	 file  with <keyword> office work </keyword> <attachment> attachment </attachment>	search_email
josh with attachment decks	FILES	<contact_name> josh </contact_name> with <attachment> attachment </attachment> <attachment_type> decks </attachment_type>	search_email
chad with attachments	FILES	<contact_name> chad </contact_name> with <attachment> attachments </attachment>	search_email
give me files with power point attachments	FILES	give me  files  with <attachment_type> power point </attachment_type> <attachment> attachments </attachment>	search_email
pull up any file with attachments from greg	FILES	pull up any  file  with <attachment> attachments </attachment> from <contact_name_from> greg </contact_name_from>	search_email
attachment in an file	FILES	<attachment> attachment </attachment> in an  file 	search_email
show my files to kevin with attachments on project	FILES	show my  files  to <contact_name_to> kevin </contact_name_to> with <attachment> attachments </attachment> on <keyword> project </keyword>	search_email
show any file that have attachments	FILES	show any  file  that have <attachment> attachments </attachment>	search_email
show attachment file	FILES	show <attachment> attachment </attachment>  file 	search_email
file from roger to cindy between may 7th and june 3rd about birthday with attachment	FILES	 file  from <contact_name_from> roger </contact_name_from> to <contact_name_to> cindy </contact_name_to> between <start_date> may 7th </start_date> and <end_date> june 3rd </end_date> about <keyword> birthday </keyword> with <attachment> attachment </attachment>	search_email
receive some attachment between 1 to 2 in afternoon	FILES	receive some <attachment> attachment </attachment> between <start_time> 1 </start_time> to <end_time> 2 in afternoon </end_time>	search_email
weather attachment file	FILES	<keyword> weather </keyword> <attachment> attachment </attachment>  file 	search_email
show me files with deck attachments	FILES	show me  files  with <attachment_type> deck </attachment_type> <attachment> attachments </attachment>	search_email
credit card bill file with attachments from june	FILES	<keyword> credit card bill </keyword>  file  with <attachment> attachments </attachment> from <start_date> june </start_date>	search_email
williams file with words attachment	FILES	<contact_name> williams </contact_name>  file  with <attachment_type> words </attachment_type> <attachment> attachment </attachment>	search_email
files sent from a long march 18th with attachment	FILES	 files  sent from <contact_name_from> a long </contact_name_from> <start_date> march 18th </start_date> with <attachment> attachment </attachment>	search_email
attachment from john	FILES	<attachment> attachment </attachment> from <contact_name_from> john </contact_name_from>	search_email
find irs files with form attachments	FILES	find <contact_name_from> irs </contact_name_from>  files  with <keyword> form </keyword> <attachment> attachments </attachment>	search_email
show files with attachment	FILES	show  files  with <attachment> attachment </attachment>	search_email
marks files was from january with attachment	FILES	<contact_name> mark </contact_name> s  files  was from <start_date> january </start_date> with <attachment> attachment </attachment>	search_email
files received in february with an attachment	FILES	 files  received in <start_date> february </start_date> with an <attachment> attachment </attachment>	search_email
from mark with attachment	FILES	from <contact_name_from> mark </contact_name_from> with <attachment> attachment </attachment>	search_email
to dad with powerpoints attachment	FILES	to <relationship_name_to> dad </relationship_name_to> with <attachment_type> powerpoints </attachment_type> <attachment> attachment </attachment>	search_email
from jessie attachment	FILES	from <contact_name_from> jessie </contact_name_from> <attachment> attachment </attachment>	search_email
show me recent pdf attachments	FILES	show me <order_ref> recent </order_ref> <attachment_type> pdf </attachment_type> <attachment> attachments </attachment>	search_email
attachment file kylie sent me	FILES	<attachment> attachment </attachment>  file  <contact_name_from> kylie </contact_name_from> sent <relationship_name_to> me </relationship_name_to>	search_email
files received between june 3 and july 4 with attachments	FILES	 files  received between <start_date> june 3 </start_date> and <end_date> july 4 </end_date> with <attachment> attachments </attachment>	search_email
from malik with sheet attachment	FILES	from <contact_name_from> malik </contact_name_from> with <attachment_type> sheet </attachment_type> <attachment> attachment </attachment>	search_email
files from jim including an attachment	FILES	 files  from <contact_name_from> jim </contact_name_from> including an <attachment> attachment </attachment>	search_email
files from may with music work attachment	FILES	 files  from <start_date> may </start_date> with <keyword> music work </keyword> <attachment> attachment </attachment>	search_email
williams file with ppts attachment	FILES	<contact_name> williams </contact_name>  file  with <attachment_type> ppts </attachment_type> <attachment> attachment </attachment>	search_email
williams files with docs attachment	FILES	<contact_name> williams </contact_name>  files  with <attachment_type> docs </attachment_type> <attachment> attachment </attachment>	search_email
files from july with png attachments	FILES	 files  from <start_date> july </start_date> with <attachment_type> png </attachment_type> <attachment> attachments </attachment>	search_email
file with attachment between february 26 and february 28	FILES	 file  with <attachment> attachment </attachment> between <start_date> february 26 </start_date> and <end_date> february 28 </end_date>	search_email
look for presentation attachments	FILES	look for <attachment_type> presentation </attachment_type> <attachment> attachments </attachment>	search_email
attachment was not included on file	FILES	<attachment> attachment </attachment> was not included on  file 	search_email
let me see lauras file that has excel attachment	FILES	let me see <contact_name> laura </contact_name> s  file  that has <attachment_type> excel </attachment_type> <attachment> attachment </attachment>	search_email
show me files with attachments	FILES	show me  files  with <attachment> attachments </attachment>	search_email
files from jim boyle with png attachments	FILES	 files  from <contact_name_from> jim boyle </contact_name_from> with <attachment_type> png </attachment_type> <attachment> attachments </attachment>	search_email
look for file received from connor with a presentations attachment	FILES	look for  file  received from <contact_name_from> connor </contact_name_from> with a <attachment_type> presentations </attachment_type> <attachment> attachment </attachment>	search_email
last weeks messages with attachments	FILES	<start_date> last week </start_date> s messages with <attachment> attachments </attachment>	search_email
show files with attachment from kevin	FILES	show  files  with <attachment> attachment </attachment> from <contact_name_from> kevin </contact_name_from>	search_email
files with attachment sent yesterday	FILES	 files  with <attachment> attachment </attachment> sent <start_date> yesterday </start_date>	search_email
file with invoice attachment	FILES	 file  with <keyword> invoice </keyword> <attachment> attachment </attachment>	search_email
show file from ed with attachment	FILES	show  file  from <contact_name_from> ed </contact_name_from> with <attachment> attachment </attachment>	search_email
files attachments vons market	FILES	 files  <attachment> attachments </attachment> <keyword> vons market </keyword>	search_email
attachments from last tuesday	FILES	<attachment> attachments </attachment> from <start_date> last tuesday </start_date>	search_email
what files do i have that contain attachments	FILES	what  files  do i have that contain <attachment> attachments </attachment>	search_email
jim with power point attachment	FILES	<contact_name> jim </contact_name> with <attachment_type> power point </attachment_type> <attachment> attachment </attachment>	search_email
repair furnace diagram attachment file	FILES	<keyword> repair furnace diagram </keyword> <attachment> attachment </attachment>  file 	search_email
my file attachments for april 2019	FILES	my  file  <attachment> attachments </attachment> for <start_date> april 2019 </start_date>	search_email
pull up file sent to robert with attachments	FILES	pull up  file  sent to <contact_name_to> robert </contact_name_to> with <attachment> attachments </attachment>	search_email
last weeks file with attachments	FILES	<start_date> last week </start_date> s  file  with <attachment> attachments </attachment>	search_email
organize mailbox to show file with attachments	FILES	<keyword> organize mailbox </keyword> to show  file  with <attachment> attachments </attachment>	search_email
find file containing attachments	FILES	find  file  containing <attachment> attachments </attachment>	search_email
files from jon with attachments	FILES	 files  from <contact_name_from> jon </contact_name_from> with <attachment> attachments </attachment>	search_email
attachment ppts from mingzhu	FILES	<attachment> attachment </attachment> <attachment_type> ppts </attachment_type> from <contact_name_from> mingzhu </contact_name_from>	search_email
files from jayson with attachments about pop music	FILES	 files  from <contact_name_from> jayson </contact_name_from> with <attachment> attachments </attachment> about <keyword> pop music </keyword>	search_email
february 16th files with attachment	FILES	<start_date> february 16th </start_date>  files  with <attachment> attachment </attachment>	search_email
from rachel with invoice attachments	FILES	from <contact_name_from> rachel </contact_name_from> with <keyword> invoice </keyword> <attachment> attachments </attachment>	search_email
file from grandma with attachments	FILES	 file  from <relationship_name_from> grandma </relationship_name_from> with <attachment> attachments </attachment>	search_email
open files on visiting hospital with slide attachment	FILES	open  files  on <keyword> visiting hospital </keyword> with <attachment_type> slide </attachment_type> <attachment> attachment </attachment>	search_email
attachment included	FILES	<attachment> attachment </attachment> included	search_email
latest attachment from oleg	FILES	<order_ref> latest </order_ref> <attachment> attachment </attachment> from <contact_name_from> oleg </contact_name_from>	search_email
dog files with attachment	FILES	<keyword> dog </keyword>  files  with <attachment> attachment </attachment>	search_email
find all attachments	FILES	find all <attachment> attachments </attachment>	search_email
file with attachments in my inbox	FILES	 file  with <attachment> attachments </attachment> in my <destination_folder> inbox </destination_folder>	search_email
files with attachment from lazlo	FILES	 files  with <attachment> attachment </attachment> from <contact_name_from> lazlo </contact_name_from>	search_email
